sex,agemos,L,M,S,sigma,P3,P5,P10,P25,P50,P75,P85,P90,P95,P98,P99,P99_9,P99_99,pct120ofP95,Z2neg,Z1_5neg,Z1neg,Z0_5neg,Z0,Z0_5,Z1,Z1_5,Z2,Z2_5,Z3,Z3_5,Z4,Z4_5,Z5
2,211.5,-2.269731517,21.13215845,0.147286698,7.034095,17.0453,17.4222,18.06,19.3213,21.1322,23.6502,25.4881,27.0379,30.0386,35.9586,39.0531,46.4023,51.7756,36.046288,16.8647,17.6675,18.6106,19.741,21.1322,22.9056,25.2816,28.7163,35.2938,40.8529,45.5948,49.9461,54.0733,58.0578,61.9453
2,212.5,-2.276917229,21.16206171,0.147260415,7.06179,17.0724,17.4494,18.0874,19.3495,21.1621,23.6843,25.5268,27.0817,30.096,36.0393,39.146,46.5242,51.9186,36.115189,16.8917,17.6948,18.6382,19.7695,21.1621,22.9382,25.3197,28.7671,35.3719,40.9528,45.7135,50.0819,54.2253,58.2255,62.1283
2,213.5,-2.283925442,21.1913351,0.147244828,7.089469,17.0986,17.4758,18.114,19.3769,21.1913,23.7179,25.5652,27.1253,30.1534,36.12,39.2389,46.6459,52.0615,36.184043,16.918,17.7213,18.6652,19.7972,21.1913,22.9702,25.3574,28.8177,35.4499,41.0528,45.8321,50.2176,54.3773,58.3931,62.3112
2,214.5,-2.290731442,21.21997472,0.147240683,7.117133,17.1241,17.5014,18.1399,19.4037,21.22,23.751,25.6031,27.1686,30.2107,36.2007,39.3317,46.7677,52.2043,36.252883,16.9434,17.747,18.6914,19.8243,21.22,23.0018,25.3948,28.8682,35.528,41.1527,45.9506,50.3533,54.5291,58.5607,62.4941
2,215.5,-2.29732427,21.24797262,0.147248467,7.144781,17.1488,17.5262,18.1651,19.4297,21.248,23.7836,25.6407,27.2116,30.2681,36.2813,39.4245,46.8894,52.3472,36.321742,16.968,17.7719,18.7169,19.8507,21.248,23.0328,25.4317,28.9186,35.606,41.2526,46.0691,50.4889,54.681,58.7282,62.6769
2,216.5,-2.303687802,21.27532239,0.14726877,7.172415,17.1726,17.5502,18.1894,19.4549,21.2753,23.8156,25.6779,27.2543,30.3255,36.362,39.5174,47.0111,52.49,36.390651,16.9918,17.796,18.7416,19.8764,21.2753,23.0632,25.4682,28.9689,35.6841,41.3525,46.1877,50.6246,54.8328,58.8957,62.8596
2,217.5,-2.309799971,21.30201933,0.147302299,7.200033,17.1955,17.5733,18.2129,19.4794,21.302,23.8472,25.7147,27.2969,30.383,36.4427,39.6103,47.1328,52.6328,36.459644,17.0146,17.8193,18.7654,19.9013,21.302,23.0931,25.5044,29.0191,35.7622,41.4524,46.3062,50.7602,54.9847,59.0632,63.0424
2,218.5,-2.315651874,21.32805489,0.147349514,7.227636,17.2176,17.5955,18.2355,19.5031,21.3281,23.8783,25.7512,27.3392,30.4406,36.5236,39.7032,47.2546,52.7757,36.528757,17.0366,17.8417,18.7885,19.9255,21.3281,23.1224,25.5402,29.0693,35.8404,41.5525,46.4249,50.8959,55.1366,59.2308,63.2252
2,219.5,-2.32121731,21.35342563,0.147411215,7.255223,17.2387,17.6169,18.2573,19.5261,21.3534,23.909,25.7873,27.3813,30.4984,36.6045,39.7963,47.3765,52.9187,36.598024,17.0576,17.8632,18.8108,19.9489,21.3534,23.1513,25.5757,29.1194,35.9187,41.6526,46.5436,51.0317,55.2886,59.3984,63.4081
2,220.5,-2.326481911,21.37812462,0.147487979,7.282795,17.2589,17.6373,18.2782,19.5482,21.3781,23.9391,25.8232,27.4233,30.5562,36.6856,39.8895,47.4985,53.0618,36.667481,17.0777,17.8838,18.8322,19.9715,21.3781,23.1795,25.6108,29.1696,35.9972,41.7529,46.6625,51.1677,55.4407,59.5661,63.591
2,221.5,-2.331428139,21.40214589,0.147580453,7.310352,17.2782,17.6568,18.2983,19.5696,21.4021,23.9688,25.8587,27.4651,30.6143,36.7669,39.9829,47.6207,53.205,36.737166,17.0969,17.9035,18.8527,19.9934,21.4021,23.2073,25.6456,29.2197,36.0759,41.8533,46.7815,51.3037,55.5929,59.7339,63.7741
2,222.5,-2.336038473,21.42548351,0.147689289,7.337894,17.2964,17.6754,18.3174,19.5901,21.4255,23.998,25.8939,27.5067,30.6726,36.8483,40.0765,47.7431,53.3484,36.807114,17.115,17.9222,18.8724,20.0145,21.4255,23.2345,25.68,29.27,36.1547,41.9539,46.9007,51.44,55.7453,59.9019,63.9573
2,223.5,-2.34029545,21.44813156,0.14781515,7.36542,17.3137,17.6929,18.3355,19.6097,21.4481,24.0268,25.9289,27.5483,30.7311,36.93,40.1703,47.8657,53.492,36.877366,17.1321,17.94,18.8912,20.0348,21.4481,23.2612,25.7142,29.3203,36.2339,42.0548,47.0201,51.5764,55.8979,60.0701,64.1407
2,224.5,-2.344181703,21.47008412,0.147958706,7.392931,17.3299,17.7095,18.3527,19.6286,21.4701,24.055,25.9636,27.5897,30.79,37.012,40.2644,47.9885,53.6358,36.94796,17.1481,17.9568,18.909,20.0542,21.4701,23.2873,25.7481,29.3707,36.3132,42.1559,47.1398,51.7131,56.0507,60.2385,64.3243
2,225.5,-2.34768,21.49133529,0.148120633,7.420427,17.345,17.725,18.369,19.6465,21.4913,24.0829,25.998,27.6311,30.8491,37.0943,40.3588,48.1116,53.78,37.018935,17.1631,17.9726,18.9259,20.0728,21.4913,23.3129,25.7817,29.4212,36.3929,42.2573,47.2597,51.8501,56.2038,60.4072,64.5082
